region_id,name,country_id
499,Мату-Гросу-ду-Сул,467
503,Минас-Жерайс,467
521,Пара,467
524,Параиба,467
527,Парана,467
533,Пернамбуку,467
539,Пиауи,467
542,Рио-де-Жанейро,467
550,Риу-Гранди-ду-Норти,467
554,Риу-Гранди-ду-Сул,467
568,Рондония,467
570,Сан-Паулу,467
595,Санта-Катарина,467
603,Сеара,467
609,Сержипи,467
611,Федеральный округ,467
613,Эспириту-Санту,467
617,Англия,616
277657,Великобритания,616
881,Северная Ирландия,616
889,Уэльс,616
899,Шотландия,616
925,Jasz-Nagykun-Szolnok,924
928,Баранья,924
930,Бач-Кишкун,924
934,Бекеш,924
936,Боршод-Абауй-Земплен,924
939,Будапешт,924
941,Ваш,924
943,Веспрем,924
945,Дьёр-Шопрон,924
947,Зала,924
950,Комаром,924
952,Ноград,924
954,Пешт,924
956,Сабольч-Сатмар,924
958,Фейер,924
961,Хайду-Бихар,924
964,Хевеш,924
967,Чонград,924
972,Dong Bang Song Cuu Long,971
975,Dong Bang Song Hong,971
979,Dong Nam,971
982,Duyen Hai Mien Trung,971
987,Khu Bon,971
990,Mien Nui Va Trung,971
992,Thai Nguyen,971
995,Artibonite,994
997,Grand`Anse,994
999,Nord-Ouest,994
1001,Ouest,994
1003,Sud,994
1005,Sud-Est,994
1008,Grande-Terre,1007
1010,Бас-Тер,1007
1013,Berlin,1012
1015,Brandenburg,1012
1020,Mecklenburg-Vorpommern,1012
1028,Sachsen,1012
1043,Sachsen-Anhalt,1012
1053,Thuringen,1012
1064,Бавария,1012
1083,Баден-Вюртемберг,1012
1103,Бремен,1012
1106,Гамбург,1012
277663,Германия,1012
1108,Гессен,1012
1120,Нижняя Саксония,1012
1137,Рейнланд-Пфальц,1012
3024114,Саарлэнд,1012
1149,Саарская область,1012
1152,Северный Рейн-Вестфалия,1012
1201,Шлезвиг-Гольштейн,1012
1207,Гелдерланд,1206
1213,Гронинген,1206
1215,Дренте,1206
1217,Лимбург,1206
1222,Оверэйсел,1206
1227,Северная Голландия,1206
1235,Северный Брабант,1206
1240,Утрехт,1206
1244,Фрисландия,1206
1246,Южная Голландия,1206
2567441,Тегусигальпа,2567393
277558,Гонконг,277557
1259,Ahaia,1258
1261,Attiki,1258
1264,Drama,1258
1266,Evros,1258
1268,Hania,1258
1270,Ioannina,1258
1272,Iraklion,1258
1274,Kavala,1258
1276,Magnisia,1258
1278,Thessaloniki,1258
6128641,Корфу,1258
1281,Абхазия,1280
1292,Аджария,1280
1296,Грузия,1280
1363,Южная Осетия,1280
1367,Baйле,1366
1369,Ceверная Ютландия,1366
1371,Opxyс,1366
1374,Pocкилле,1366
1376,Pибе,1366
2331485,Копенгаген,1366
1378,Фюн,1366
2077237,Хельсингор,1366
2578001,Санто-доминго,2577958
1381,Аль-Кахира,1380
1383,Асуан,1380
1385,Асьют,1380
1387,Бени-Суэйф,1380
1389,Гарбия,1380
1391,Думьят,1380
277674,Египет,1380
3409961,Синай,1380
1449,Иерусалим,1393
1440,Тель-Авив,1393
1394,Хадаром,1393
1403,Хамеркац,1393
1416,Хацафон,1393
1429,Хефа,1393
1452,Bangla,1451
1468,Chhattisgarh,1451
1473,Karnataka,1451
1488,Uttaranchal,1451
1491,Андхра-Прадеш,1451
1509,Ассам,1451
1512,Бихар,1451
1521,Гуджарат,1451
1539,Джамму и Кашмир,1451
277673,Индия,1451
1545,Керала,1451
1548,Мадхья-Прадеш,1451
1561,Манипур,1451
1563,Махараштра,1451
1586,Мегхалая,1451
1588,Орисса,1451
1591,Пенджаб,1451
1596,Пондишери,1451
1598,Раджастхан,1451
1612,Тамилнад,1451
1629,Трипура,1451
1631,Уттар-Прадеш,1451
1656,Харьяна,1451
1661,Чандигарх,1451
277560,Индонезия,277559
277562,Иордания,277561
3410574,Багдад,3410238
3410602,Басра,3410238
3410645,Мосул,3410238
1664,Azarbayjan-e Khavari,1663
1667,Esfahan,1663
1669,Hamadan,1663
1671,Kordestan,1663
1673,Markazi,1663
1675,Sistan-e Baluches,1663
1677,Yazd,1663
1679,Керман,1663
1681,Керманшахан,1663
1683,Мазендеран,1663
1686,Тегеран,1663
1688,Фарс,1663
1691,Хорасан,1663
1693,Хузистан,1663
1697,Cork,1696
1699,Dublin,1696
1702,Limerick,1696
1704,Waterford,1696
1708,Cantabria,1707
1710,Ceuta,1707
4093580,Gerona,1707
1712,Granada,1707
1714,La Rioja,1707
1716,Salamanca,1707
1718,Алава,1707
1720,Аликанте,1707
1724,Альбасете,1707
1726,Альмерия,1707
1728,Астурия,1707
1731,Барселона,1707
1738,Бискайя,1707
1740,Бургос,1707
1742,Валенсия,1707
1744,Валья­долид,1707
277661,Испания,1707
1746,Кадис,1707
1749,Касерес,1707
1753,Кордова,1707
1755,Лас-Пальмас,1707
1757,Леон,1707
1759,Лерида,1707
1761,Луго,1707
1763,Мадрид,1707
1765,Малага,1707
1767,Мурсия,1707
1769,Острова Балеарские,1707
1771,Паленсия,1707
1774,Самора,1707
1776,Санта-Крус-де-Тенерифе,1707
1778,Сарагоса,1707
1780,Севилья,1707
1782,Сьюдад-Реаль,1707
1784,Хаэн,1707
1787,Абруцци,1786
1789,Апулия,1786
1802,Венеция,1786
277668,Италия,1786
1806,Калабрия,1786
1810,Кампания,1786
1819,Лацио,1786
1821,Лигурия,1786
1826,Ломбардия,1786
1838,Марке,1786
1841,О. Сардиния,1786
1844,О. Сицилия,1786
1858,Пьемонт,1786
1864,Тоскана,1786
1876,Трентино-Альто-Адидже,1786
1879,Умбрия,1786
1882,Фриули-Венеция-Джулия,1786
1885,Эмилия-Романья,1786
2416357,о. Сан-Джорджо Маджоре,1786
2564700,Акмолинская обл.,1894
1895,Актюбинская обл.,1894
1911,Алма-Атинская обл.,1894
1924,Восточно-Казахстанская обл.,1894
1942,Гурьевская обл.,1894
1954,Джамбулская обл.,1894
1974,Джезказганская обл.,1894
1934356,Западно-Казахстанская обл.,1894
277655,Казахстан,1894
1994,Карагандинская обл.,1894
2010,Кзыл-Ординская обл.,1894
2021,Кокчетавская обл.,1894
2040,Кустанайская обл.,1894
2055,Мангышлакская обл.,1894
2061,Павлодарская обл.,1894
2074,Северо-Казахстанская обл.,1894
2084,Семипалатинская обл.,1894
2105,Талды-Курганская обл.,1894
2120,Тургайская обл.,1894
2128,Целиноградская обл.,1894
2146,Чимкентская обл.,1894
2164,Littoral,2163
2166,Sudouest,2163
2168,Северная,2163
2170,Центральная,2163
2173,Альберта,2172
2181,Британская Колумбия,2172
2201,Квебек,2172
2229,Манитоба,2172
2232,Новая Шотландия,2172
2235,Нью-Брунсвик,2172
2239,Ньюфаундленд,2172
2242,Онтарио,2172
2291,Принц Эдуард,2172
2293,Саскачеван,2172
11564803,Багамы,582029
2298,Government controlled area,2297
2300,Turkish controlled area,2297
2304,Иссык-Кульская обл.,2303
2316,Кыргызстан,2303
2327,Нарынская обл.,2303
2340,Ошская обл.,2303
2365,Таласская обл.,2303
2375,Xinjiang,2374
2379,Внутренняя Монголия,2374
2382,Ганьсу,2374
4691804,Гуандон,2374
2386,Гуанси,2374
2388,Ляонин,2374
3331120,Пекин,2374
